                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6698,                 3.3169,                 2.2008,                0.81567,                0.07841,                0.11544,                0.03526,                 3.2921,                 4.0535,                 2.4728,             0.00013336,             0.00013336,             0.00013336
                      2,                 2.4617,                 2.8931,                 2.0176,                0.30743,                0.22484,                0.21292,                0.06738,                 2.9031,                 3.7674,                 2.1604,             0.00018987,             0.00018987,             0.00018987
                      3,                 2.2367,                 2.4171,                 1.8119,                0.64277,                0.26704,                0.35633,                  0.124,                 2.7225,                 3.2636,                 2.0072,             0.00014736,             0.00014736,             0.00014736
